iter	Passed	Remaining
0	17020	323394
1	33020	297181
2	48511	274901
3	64620	258481
4	80236	240709
5	95461	222743
6	111488	207049
7	127156	190735
8	142718	174433
9	159729	159729
10	175726	143775
11	191940	127960
12	209257	112676
