iter	Logloss
0	0.2809433087
1	0.2846870809
2	0.2855735502
3	0.2853926838
4	0.2861839134
5	0.285518788
6	0.2854022578
7	0.2862300466
8	0.2865758291
9	0.2868399207
10	0.2868673135
11	0.2872441201
12	0.286728696
